Timestamp,  Q1: Which of the following best identifies you?  ,Q2: Which of the following scenarios best reflects your sense of achievement?  ,Q3: Which of the following best describes how you handle decision-making in your daily life? ,Q4: Which of the following best describes how you handle situations that require patience? ,Q5: Which of the following best describes how you view and understand yourself? ,"Situation1: You are offered an internship with a decision-maker in a startup. The internship involves working on an ambiguous project with minimal guidance. Your primary goal is to gain valuable experience, but you also have upcoming placement interviews.",Situation2: You are given a challenging project in your internship that requires solving a complex problem with no clear instructions. The success of the project depends on how you approach and break down the problem.,Situation3: Your college is offering a semester-long elective course that will require significant time and effort but offers no immediate grade or credit benefit. How do you decide whether to enroll?  ,"Situation4: You are offered an internship that provides significant hands-on experience and learning opportunities, but it does not come with an official certificate. You have the chance to work closely with decision-makers on real projects.","Situation5: You are involved in an internship project that requires ongoing effort and iteration. The project will not show immediate results, and it requires a focus on the process rather than expecting quick outcomes.",Name,Advanced,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
18/07/2024 15:06:21,"Option D: I’m open to traveling to new destinations, but I usually do thorough research and plan ahead to minimize any potential risks or uncertainties.",Option B: Receiving compliments and recognition from friends or family for something you've accomplished.,Option D: I usually gather a lot of information and consider others' opinions but ultimately trust my own judgment to make the final decision.,"Option C: I often seek out activities where I can see incremental progress, as it helps me stay patient and motivated over time.","Option C: I sometimes think about my strengths and weaknesses, but I often rely on feedback from others to understand myself better.","Option D: Use the internship to network and gain recommendations from the decision-maker, hoping it will directly improve your placement prospects.","Option B: Rely on first principles reasoning, breaking the problem down to its most basic elements and building up your understanding from there.",Option B: Enroll in the course because I am genuinely interested in the subject and see long-term benefits.,"Option A: Accept the internship to gain hands-on experience and valuable learning opportunities, without worrying about formal recognition.",Option D: Regularly seek feedback from your mentor to ensure you are on the right track and adjust your efforts accordingly to see quicker progress.,Ritvik Aggarwal,2,-1,2,0,-1,-1,0,1,1,1,0
18/07/2024 15:16:52,"Option D: I’m open to traveling to new destinations, but I usually do thorough research and plan ahead to minimize any potential risks or uncertainties.","Option A: Finishing daily tasks quickly and efficiently, allowing you to feel productive and move on to other activities.",Option A: I make decisions on my own but like to have some guidelines or a framework to follow to feel more confident.,Option B: I often seek advice and approval from others before making a decision to ensure I’m on the right track.,Option D: I am aware of my strengths and weaknesses but prefer to focus on my strengths to stay motivated and positive.,"Option D: Use the internship to network and gain recommendations from the decision-maker, hoping it will directly improve your placement prospects.","Option D: Use this opportunity to network and seek advice from others who have solved similar problems, hoping to gather enough information to complete the project successfully.",Option D: Skip the course because I prefer to focus on activities that provide immediate benefits like grades or credits.,"Option A: Accept the internship to gain hands-on experience and valuable learning opportunities, without worrying about formal recognition.",Option D: Regularly seek feedback from your mentor to ensure you are on the right track and adjust your efforts accordingly to see quicker progress.,Sania Almeida ,2,-1,-1,2,1,0,0,0,0,1,0
18/07/2024 15:19:51,"Option C: I enjoy exploring new places, but I like to have a detailed itinerary and some certainty about what I will be doing each day.","Option D: Learning a new skill or hobby and overcoming difficulties along the way, regardless of how well you master it in the end.",Option D: I usually gather a lot of information and consider others' opinions but ultimately trust my own judgment to make the final decision.,"Option D: I enjoy activities like gardening or practicing a musical instrument, even if progress is slow.",Option A: I focus more on getting things done and I feel that I'd overthink if I think about my strength and weakness,"Option D: Use the internship to network and gain recommendations from the decision-maker, hoping it will directly improve your placement prospects.","Option C: Seek a balance between structured thinking and first principles reasoning, using frameworks where they fit and breaking down elements from scratch when needed.",Option C: Only enroll if it fits easily into my schedule and does not interfere with my other activities.,"Option B: Accept the internship and emphasize to everyone how it will contribute to your self-development and long-term career growth, even without a certificate.",Option C: Balance your approach by setting short-term goals to achieve quick wins while keeping the long-term process in mind.,Dhyanesh Sudhir Dikkar,2,2,0,0,0,2,0,-1,-1,-1,1
18/07/2024 15:29:46,"Option C: I enjoy exploring new places, but I like to have a detailed itinerary and some certainty about what I will be doing each day.","Option A: Finishing daily tasks quickly and efficiently, allowing you to feel productive and move on to other activities.",Option A: I make decisions on my own but like to have some guidelines or a framework to follow to feel more confident.,"Option C: I often seek out activities where I can see incremental progress, as it helps me stay patient and motivated over time.",Option A: I focus more on getting things done and I feel that I'd overthink if I think about my strength and weakness,"Option A: Prioritize placement preparation, requesting more structured guidance in the internship to save time for your interview preparations.","Option D: Use this opportunity to network and seek advice from others who have solved similar problems, hoping to gather enough information to complete the project successfully.",Option A: Enroll in the course because it will help me stay competitive and not fall behind my peers.,"Option A: Accept the internship to gain hands-on experience and valuable learning opportunities, without worrying about formal recognition.","Option B: Focus on the aspects of the project that provide immediate feedback and visible results, as this keeps you motivated.",Ankit Sahu,8,2,-1,2,-1,2,2,0,2,1,-1
18/07/2024 15:40:10,"Option B: When faced with the chance to travel to a completely new place with no set plans, I get excited about the unknown and the potential for unexpected adventures.",Option C: Completing a challenging workout or training regimen that you've been working on for weeks.,Option A: I make decisions on my own but like to have some guidelines or a framework to follow to feel more confident.,"Option C: I often seek out activities where I can see incremental progress, as it helps me stay patient and motivated over time.","Option B: I regularly reflect on my strengths and weaknesses, using this self-awareness to set personal goals and improve myself.","Option C: Balance both the internship and placement preparation by setting a strict schedule, ensuring you give adequate time to both without compromising on either.","Option C: Seek a balance between structured thinking and first principles reasoning, using frameworks where they fit and breaking down elements from scratch when needed.",Option D: Skip the course because I prefer to focus on activities that provide immediate benefits like grades or credits.,Option D: Take the internship but request a letter of recommendation or some form of written acknowledgment from the decision-makers as an alternative to a certificate.,Option C: Balance your approach by setting short-term goals to achieve quick wins while keeping the long-term process in mind.,Kavya Reddy Y,3,1,1,2,-1,1,-1,-1,0,0,1
18/07/2024 15:58:05,"Option C: I enjoy exploring new places, but I like to have a detailed itinerary and some certainty about what I will be doing each day.","Option D: Learning a new skill or hobby and overcoming difficulties along the way, regardless of how well you master it in the end.",Option A: I make decisions on my own but like to have some guidelines or a framework to follow to feel more confident.,"Option C: I often seek out activities where I can see incremental progress, as it helps me stay patient and motivated over time.",Option A: I focus more on getting things done and I feel that I'd overthink if I think about my strength and weakness,"Option D: Use the internship to network and gain recommendations from the decision-maker, hoping it will directly improve your placement prospects.","Option B: Rely on first principles reasoning, breaking the problem down to its most basic elements and building up your understanding from there.",Option B: Enroll in the course because I am genuinely interested in the subject and see long-term benefits.,"Option A: Accept the internship to gain hands-on experience and valuable learning opportunities, without worrying about formal recognition.",Option D: Regularly seek feedback from your mentor to ensure you are on the right track and adjust your efforts accordingly to see quicker progress.,Naman Jain,8,2,0,2,-1,2,0,1,1,1,0
18/07/2024 16:05:22,"Option C: I enjoy exploring new places, but I like to have a detailed itinerary and some certainty about what I will be doing each day.","Option A: Finishing daily tasks quickly and efficiently, allowing you to feel productive and move on to other activities.",Option D: I usually gather a lot of information and consider others' opinions but ultimately trust my own judgment to make the final decision.,"Option C: I often seek out activities where I can see incremental progress, as it helps me stay patient and motivated over time.",Option D: I am aware of my strengths and weaknesses but prefer to focus on my strengths to stay motivated and positive.,"Option C: Balance both the internship and placement preparation by setting a strict schedule, ensuring you give adequate time to both without compromising on either.","Option D: Use this opportunity to network and seek advice from others who have solved similar problems, hoping to gather enough information to complete the project successfully.",Option C: Only enroll if it fits easily into my schedule and does not interfere with my other activities.,Option D: Take the internship but request a letter of recommendation or some form of written acknowledgment from the decision-makers as an alternative to a certificate.,Option D: Regularly seek feedback from your mentor to ensure you are on the right track and adjust your efforts accordingly to see quicker progress.,Sheth Mili D.,-2,2,-1,0,-1,0,-1,0,-1,0,0
18/07/2024 16:13:54,"Option B: When faced with the chance to travel to a completely new place with no set plans, I get excited about the unknown and the potential for unexpected adventures.","Option D: Learning a new skill or hobby and overcoming difficulties along the way, regardless of how well you master it in the end.","Option C: When faced with a decision, I prefer to rely on my own judgment and instincts, even if it means making mistakes along the way.","Option D: I enjoy activities like gardening or practicing a musical instrument, even if progress is slow.","Option B: I regularly reflect on my strengths and weaknesses, using this self-awareness to set personal goals and improve myself.","Option C: Balance both the internship and placement preparation by setting a strict schedule, ensuring you give adequate time to both without compromising on either.","Option B: Rely on first principles reasoning, breaking the problem down to its most basic elements and building up your understanding from there.",Option B: Enroll in the course because I am genuinely interested in the subject and see long-term benefits.,"Option A: Accept the internship to gain hands-on experience and valuable learning opportunities, without worrying about formal recognition.",Option C: Balance your approach by setting short-term goals to achieve quick wins while keeping the long-term process in mind.,RUTHVIK,4,1,0,-1,0,1,-1,1,1,1,1
18/07/2024 16:23:22,"Option D: I’m open to traveling to new destinations, but I usually do thorough research and plan ahead to minimize any potential risks or uncertainties.",Option B: Receiving compliments and recognition from friends or family for something you've accomplished.,Option D: I usually gather a lot of information and consider others' opinions but ultimately trust my own judgment to make the final decision.,"Option C: I often seek out activities where I can see incremental progress, as it helps me stay patient and motivated over time.","Option B: I regularly reflect on my strengths and weaknesses, using this self-awareness to set personal goals and improve myself.","Option D: Use the internship to network and gain recommendations from the decision-maker, hoping it will directly improve your placement prospects.","Option C: Seek a balance between structured thinking and first principles reasoning, using frameworks where they fit and breaking down elements from scratch when needed.",Option C: Only enroll if it fits easily into my schedule and does not interfere with my other activities.,"Option A: Accept the internship to gain hands-on experience and valuable learning opportunities, without worrying about formal recognition.",Option C: Balance your approach by setting short-term goals to achieve quick wins while keeping the long-term process in mind.,Dhruv Rishikesh Janakala,1,-1,2,0,-1,1,0,-1,-1,1,1
18/07/2024 16:37:17,"Option D: I’m open to traveling to new destinations, but I usually do thorough research and plan ahead to minimize any potential risks or uncertainties.","Option D: Learning a new skill or hobby and overcoming difficulties along the way, regardless of how well you master it in the end.","Option C: When faced with a decision, I prefer to rely on my own judgment and instincts, even if it means making mistakes along the way.","Option D: I enjoy activities like gardening or practicing a musical instrument, even if progress is slow.","Option C: I sometimes think about my strengths and weaknesses, but I often rely on feedback from others to understand myself better.","Option C: Balance both the internship and placement preparation by setting a strict schedule, ensuring you give adequate time to both without compromising on either.",Option A: Focus on learning and applying established frameworks and structured thinking methods to systematically approach the problem.,Option A: Enroll in the course because it will help me stay competitive and not fall behind my peers.,Option D: Take the internship but request a letter of recommendation or some form of written acknowledgment from the decision-makers as an alternative to a certificate.,Option D: Regularly seek feedback from your mentor to ensure you are on the right track and adjust your efforts accordingly to see quicker progress.,Shreya Sathyanarayanan ,0,-1,0,-1,0,-1,-1,2,2,0,0
